Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;UNT003__Unternehmen__Anzahl;VER013__Befoerderte_Personen__1000;VER014__Personenkilometer__1000
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINNAHSTB;Liniennahverkehr mit Straﬂenbahnen;61;826994;3673164
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINNAHOBUS;Liniennahverkehr mit Omnibussen;890;1193888;7844302
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINFERNOBUS;Linienfernverkehr mit Omnibussen;28;1299;448899
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINFERNEISB;Linienfernverkehr mit Eisenbahnen;2;31003;9320553
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINNAHINSG;Liniennahverkehr insgesamt;938;2663985;25057162
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINNAHEISB;Liniennahverkehr mit Eisenbahnen;52;547919;11692800
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINNAHSTB;Liniennahverkehr mit Straﬂenbahnen;61;915173;4014628
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINNAHOBUS;Liniennahverkehr mit Omnibussen;890;1363348;9349734
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINFERNOBUS;Linienfernverkehr mit Omnibussen;29;1148;300462
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART4;4. Quartal;VERAT3;Verkehrsart;VERLINFERNEISB;Linienfernverkehr mit Eisenbahnen;2;30939;8445459
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINNAHINSG;Liniennahverkehr insgesamt;928;2636809;24335838
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINNAHEISB;Liniennahverkehr mit Eisenbahnen;52;521872;10899626
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINNAHSTB;Liniennahverkehr mit Straﬂenbahnen;61;907792;4050465
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINNAHOBUS;Liniennahverkehr mit Omnibussen;881;1366401;9385747
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINFERNOBUS;Linienfernverkehr mit Omnibussen;21;466;202210
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART1;1. Quartal;VERAT3;Verkehrsart;VERLINFERNEISB;Linienfernverkehr mit Eisenbahnen;2;28300;8005880
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINNAHINSG;Liniennahverkehr insgesamt;929;2565843;24016540
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINNAHEISB;Liniennahverkehr mit Eisenbahnen;51;525691;11089122
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINNAHSTB;Liniennahverkehr mit Straﬂenbahnen;61;876140;3907341
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINNAHOBUS;Liniennahverkehr mit Omnibussen;883;1317006;9020077
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINFERNOBUS;Linienfernverkehr mit Omnibussen;22;501;225082
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART2;2. Quartal;VERAT3;Verkehrsart;VERLINFERNEISB;Linienfernverkehr mit Eisenbahnen;2;29411;8742815
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINNAHINSG;Liniennahverkehr insgesamt;927;2426483;23064531
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINNAHEISB;Liniennahverkehr mit Eisenbahnen;51;520839;11337156
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINNAHSTB;Liniennahverkehr mit Straﬂenbahnen;61;853918;3830362
46181;Personenverkehr mit Bussen und Bahnen;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;QUARTG;Quartale;QUART3;3. Quartal;VERAT3;Verkehrsart;VERLINNAHOBUS;Liniennahverkehr mit Omnibussen;881;1196706;7897013
